name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J182530.9+301845,276.379161,30.3125555,58.193628,18.472896,15.932,15.163,19.9577187,20.09175835,19.73983132,-13.28144898,0.975609756,1.2418304688235735
2CXO J183035.7+290850,277.6491421,29.1473104,57.48296,17.018315,16.174,15.104,20.16516349,20.22916275,19.66712919,-13.19205882,0.926829268,1.2715260780882551
2CXO J183108.3-322610,277.7846179,-32.43623059,1.619223,-10.260735,16.296,14.864,19.71395314,19.97472944,19.27748484,-13.53794592,0.658536585,1.6025652158446666
2CXO J183159.7-341103,277.9988408,-34.18435833,0.092185,-11.175537,14.931,13.895,19.45228933,19.660217,19.08380556,-13.5504947,0.902439024,1.4037728422089706
2CXO J183242.3-341210,278.1765161,-34.20292628,0.139043,-11.316359,15.151,14.358,19.51855593,20.13374605,18.8202551,-14.06961733,0.853658537,1.9083052377181766
2CXO J183521.1+330854,278.8380482,33.14834054,61.770164,17.553301,16.04,15.013,19.87851794,20.02829222,19.48213026,-13.46727558,1.0,1.3002232289368572
2CXO J183532.2+325504,278.8842769,32.91795345,61.560149,17.433053,16.397,15.285,20.19511145,20.42043396,19.68051713,-13.53586987,1.0,1.380996019107865
2CXO J183602.0-325843,279.0087133,-32.97871137,1.569863,-11.42384,15.135,14.246,18.1362538,18.22364836,17.53610912,-9999.0,0.780487805,2.054164297671328
2CXO J183602.2+330602,279.0094756,33.1006558,61.778621,17.402236,16.356,15.268,20.50231503,20.60796917,20.13998997,-13.60477191,0.926829268,1.7367911422993851
2CXO J183748.5+384201,279.4524856,38.70058294,67.426663,19.04927,15.234,14.2,18.64839894,18.76923065,18.4233617,-9999.0,0.975609756,1.1553738339364066
2CXO J183826.4+171059,279.6102183,17.18309336,46.955541,10.538865,13.763,12.883,17.2583012,17.38691921,16.79584985,-13.53312117,0.634146341,1.804823253304925
2CXO J183845.0+171434,279.687683,17.2430162,47.042834,10.497637,16.524,16.171,20.00892392,19.90128748,19.2322041,-13.85749455,0.536585366,1.95606468013077
2CXO J183856.5+164944,279.7356205,16.82914522,46.682665,10.278809,15.225,14.068,19.72980903,20.188343,19.32916084,-13.55098705,0.682926829,1.3012520845360462
2CXO J184103.4-414808,280.2645598,-41.80250672,353.673005,-15.896833,16.524,16.624,20.27546552,20.80420931,20.23365654,-14.08989781,0.634146341,2.5191589552010454
2CXO J184106.6-414529,280.277462,-41.75826573,353.719342,-15.888854,15.806,14.471,19.4261478,19.66195173,19.15474938,-14.15015798,0.707317073,1.410053754453331
2CXO J184202.0-282926,280.5086446,-28.49058476,6.267897,-10.685971,14.279,13.843,19.01318421,19.03494045,18.49047755,-13.95713109,0.609756098,1.5147011493330302
2CXO J184204.7-284232,280.5197185,-28.70905524,6.070846,-10.78767,15.051,14.142,19.01129253,19.26141501,18.60552542,-12.87010915,1.0,1.6765761160973347
2CXO J184205.7-283712,280.5236713,-28.62016124,6.154256,-10.753029,16.634,15.307,19.52247488,19.60932194,19.00575545,-13.59740613,0.87804878,1.8080877015752828
2CXO J184310.0+404215,280.7918406,40.70439717,69.789561,18.766675,16.284,15.663,20.61796844,20.69642602,20.37425278,-13.3094464,0.902439024,1.1912617652408644
2CXO J184342.0-482912,280.9250274,-48.4869558,347.32364,-18.755534,16.678,15.414,19.96338114,20.21386376,19.73867475,-13.86777339,0.804878049,1.6668078444389263
2CXO J184930.4+184019,282.3768466,18.67221215,49.469805,8.805867,15.068,13.8,18.46340094,18.71816796,18.13368869,-13.57508653,0.658536585,1.466190039766804
2CXO J184945.0-264925,282.4375274,-26.82375012,8.542435,-11.531845,15.305,14.645,19.85978496,,,-13.23418981,0.707317073,1.2125829364864422
2CXO J185001.8+183449,282.5077094,18.5805251,49.440868,8.65432,16.087,14.775,19.01020028,19.24240536,18.76164249,-13.37818634,0.756097561,1.643009690410974
2CXO J185005.4-265721,282.5225817,-26.9558522,8.452279,-11.655965,14.381,13.771,18.95723524,19.11328677,18.74797704,-13.96496922,0.56097561,1.4640241100748077
2CXO J185022.2-270100,282.5926743,-27.01678587,8.422331,-11.738149,15.713,15.055,19.84745469,,,-13.17448322,0.609756098,1.1741561215892682
2CXO J185258.1+330119,283.2424403,33.02204177,63.11046,14.093563,16.645,15.581,19.98174535,20.19749291,19.69081791,-13.13055939,1.0,1.666411421821846
2CXO J185325.2+330341,283.3552116,33.06164384,63.186688,14.022591,16.545,15.766,19.62284222,19.84124993,19.31187382,-13.39935606,0.975609756,1.7999095139877748
2CXO J185430.0-084806,283.6251296,-8.801923376,25.427744,-4.67633,16.298,14.273,18.83290548,19.0129536,18.35219128,-13.49067861,0.634146341,2.010196653427391
